Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
osmanthus-fragrans,acqua-di-stresa,"osmanthus, pomegranate","rose, camellia, jasmine, hyacinth","musk, amber",floral,fruity,rose,powdery,lactonic
campfire-rebel,pinrose,"whiskey, raspberry","incense, agarwood (oud)","vetiver, bourbon vanilla",woody,amber,whiskey,smoky,oud
maroon,max-philip,"black currant, bergamot","iris, rose, jasmine","patchouli, caramel, leather, white musk",woody,caramel,iris,patchouli,powdery
summer-white,avon,"aldehydes, grapefruit, freesia","jasmine, lily-of-the-valley, orange, orchid","musk, sandalwood",aldehydic,musky,fresh,white floral,citrus
puressence-by-ecobeauty,oriflame,"basil, citruses, orange","orange blossom, ylang-ylang, jasmine, bulgarian rose","vetiver, spicy notes, heliotrope, tonka bean, vanilla",aromatic,fresh spicy,citrus,green,woody
sorbet-jolie,faberlic,"frosted berries, green notes","pear ice cream, violet, magnolia","musk, sandalwood, ambrette (musk mallow), cedar",fruity,musky,lactonic,powdery,green
citronica,faberlic,"bergamot, grapefruit, black currant blossom","bergamot, grapefruit blossom","oakmoss, patchouli, musk, sandalwood",citrus,mossy,fresh spicy,woody,earthy
magda,lubin,"cherry, blackcurrant syrup, pomegranate, mandarin orange","tunisian orange blossom, indian tuberose, gardenia, cinnamon","amaretto, vanilla, sandalwood, peru balsam",fruity,white floral,woody,almond,sweet
varens-original-borneo-dream,ulric-de-varens,watermelon,"ylang-ylang, jasmine",virginia cedar,ozonic,aquatic,yellow floral,white floral,woody
pretty-glamorous,avon,"lemon, bergamot",peony,sandalwood,citrus,woody,floral,fresh,aromatic
wellness-by-clean-harmony,clean,"italian lemon, eucalyptus, rosemary","jasmine, orange blossom, rose","cedar, musk",citrus,woody,aromatic,camphor,white floral
les-fashion-stiletto,bi-es,"almond, bergamot","rose, iris",cedar,almond,nutty,rose,woody,fruity
faberlic-by-valentin-yudashkin-rose,faberlic,"watery notes, water lily","lily-of-the-valley, peony, cyclamen, pear",musk,fresh,floral,aquatic,white floral,musky
delicious-kisses,haute-fragrance-company-hfc,"raspberry, violet, bulgarian rose","papyrus, iris, sandalwood","patchouli, cedar, ambrette (musk mallow), musk",woody,powdery,fruity,violet,patchouli
lulucastagnette,lulu-castagnette,"fig, bergamot","cotton candy, rose, jasmine, magnolia","vanilla, sandalwood, musk, patchouli, cedar",sweet,woody,powdery,vanilla,fruity
lili-fantasy,juliette-has-a-gun,bubble gum,"tuberose, jasmine","ambroxan, amber",white floral,amber,tuberose,musky,animalic
water-ivy,brocard,"watery notes, bergamot, peach","ivy, jasmine, bellflower, peony","white musk, moss",fresh,floral,green,aquatic,musky
jamaica-2-woman,puma,"pink grapefruit, melon, peach","violet leaf, jasmine, freesia, plum","patchouli, musk, vanilla",citrus,ozonic,patchouli,aquatic,floral
enjoy,franck-boclet,"bergamot, lemon, orange","nutmeg, rose, geranium, pepper, violet, cinnamon, jasmine","incense, ambroxan, white musk",fresh spicy,citrus,rose,aromatic,warm spicy
floratta-in-gold,o-boticario,"peach, pineapple, orchid, neroli","jasmine, heliotrope, lily-of-the-valley","amber, vanille, sandalwood, musk",fruity,powdery,sweet,vanilla,amber
prada-paradoxe-virtual-flower,prada,bergamot,"jasmine, neroli","musk, ambrette",white floral,musky,citrus,floral,powdery
u,adolfo-dominguez,"bergamot, raspberry, black currant, mandarin orange","rose, lily-of-the-valley, freesia, magnolia","sandalwood, patchouli, virginia cedar",woody,citrus,fruity,floral,rose
alatau,faberlic,"water notes, mint, amalfi lemon, red berries","hyacinth, lily-of-the-valley, violet, orange blossom, wild rose","pine, oak moss, musk, vetiver, orris root, amber, patchouli",green,aromatic,woody,aquatic,fresh
walk-of-shame,antonio-maretti,"bergamot, pineapple, aldehydes","rose, gardenia","cedar, ambrox super",citrus,woody,fruity,sweet,fresh
gisada-donna,gisada,"cotton candy, iris, violet, sicilian bergamot","patchouli, jasmine sambac, benzoin, white peach blossom","musk, sandalwood, coffee, tuberose",powdery,woody,warm spicy,musky,white floral
mercedes-benz-for-her-fanciful-edition,mercedes-benz,"green mandarin, lemon","freesia, jasmine, rose","incense, white musk, frangipani, amberwood",floral,amber,musky,white floral,citrus
eclat-d-arpege-limited-edition,lanvin,"mandarin orange, bergamot, grapefruit","rose, peach, african orange flower, jasmine","musk, virginia cedar, vetiver, amber",citrus,white floral,woody,rose,fruity
eva,eva-longoria,"citruses, bergamot, aldehydes, neroli","lily-of-the-valley, violet, freesia, jasmine","musk, sandalwood, amber",citrus,fresh,white floral,fresh spicy,floral
scentini-citrus-chill,avon,"blood orange, mandarin orange","guava, passion flower, apple blossom","musk, amber",citrus,fruity,floral,tropical,unknown
banho-de-sorte,o-boticario,"italian lemon, cardamom, pink pepper, ginger, mandarin orange","clove leaf, geranium, violet","moss, patchouli, virginian cedar, sandalwood, amber",warm spicy,woody,citrus,aromatic,mossy
x2o-extraordinary-for-women,ted-baker,"grapefruit, star anise","magnolia, mirabelle plum, water lily","precious woods, musk",floral,citrus,woody,fruity,musky
nafnaf-too,nafnaf,"mango, pear, mandarin orange","peony, jasmine, neroli","patchouli, musk",floral,white floral,fresh,fruity,patchouli
scent-of-kiss-poplove,armand-basi,"pear, watermelon, bergamot","jasmine, white lily","musk, white wood, cashmeran",white floral,aquatic,fruity,ozonic,citrus
fleurs-d-ombre-bergamote,jean-charles-brosseau,"amalfi lemon, bergamot, bitter orange","rosemary, clove, jasmine, heliotrope","oakmoss, patchouli, amber, tonka bean",citrus,aromatic,fresh spicy,woody,warm spicy
english-dahlia-fragrance-mist,yardley,"green notes, citruses, apple, neroli, floral notes","rose, peony, dahlia","patchouli, cedar, musk",floral,woody,fresh,green,patchouli
absolute-woman,bruno-banani,"litchi, pink pepper, pink grapefruit, blackberry, bergamot","rose, marigold, jasmine, orange blossom","cedar, amber, vanilla, moss, patchouli, musk",fruity,citrus,sweet,rose,woody
summer-white-bright,avon,lemon,lily-of-the-valley,tagetes,white floral,citrus,aromatic,fresh,balsamic
amo-ferragamo-oriental-wood,salvatore-ferragamo,"guatemalan cardamom, apple, lemon","rose, saffron, jasmine","resins, musk, vanilla",warm spicy,rose,amber,musky,vanilla
black-opium-storm-illusion,yves-saint-laurent,"pink pepper, orange blossom, mandarin orange, bergamot, pear","tuberose, licorice, coffee, bitter almond, jasmine sambac","cashmirwood, white musk, vanilla, patchouli, cedar",woody,white floral,musky,sweet,soft spicy
life-is-now-for-her,mexx,"pear, guava, orange","iris, jasmine, white lily","musk, vanilla, cedar",fruity,white floral,powdery,sweet,musky
absolument-femme,absolument-parfumeur,"grapefruit, tangerine, bergamot","wormwood, violet, magnolia, spices, cardamom, rose, nutmeg, lily-of-the-valley, ylang-ylang, jasmine","white musk, sandalwood, amber",citrus,floral,fresh spicy,warm spicy,aromatic
body,kkw-fragrance,"peach, bergamot, pink pepper, green mandarin","jasmine sambac, ylang-ylang, turkish rose","australian sandalwood, musk, haitian vetiver, amber",woody,citrus,white floral,powdery,sweet
libeccio,paolo-gigli,"lilac, rose, jasmine, eucalyptus, cyclamen, mint","raspberry, iris, peach","cedar, amber, sandalwood, vanilla",floral,woody,fresh,powdery,rose
pussy,rammstein,"animal notes, pomelo, hyacinth","tuberose, jasmine","transparent woods, palisander rosewood",woody,animalic,white floral,citrus,tuberose
up-to-you-for-her,avon,"peach, mandarin orange, freesia","magnolia, peony, lily-of-the-valley","sandalwood, leather, cedar",floral,woody,fruity,powdery,citrus
viva-by-fergie,avon,"green notes, bergamot","lavender, mint, narcissus","vetiver, woody notes, white musk",green,aromatic,lavender,woody,fresh spicy
incandessence-flame,avon,pink pepper,"gardenia, jasmine",musk,white floral,musky,soft spicy,powdery,lactonic
intensa,natura,"apple, citruses",floral fruity notes,musk,fruity,musky,fresh,citrus,sweet
cassandra-bleu,jeanne-arthes,bergamot,"ylang-ylang, rose","civetta, musk",musky,yellow floral,citrus,animalic,powdery
fairy-dust,paris-hilton,"peony, orange blossom","gardenia, peach, lotus","musk, vanilla, patchouli",white floral,floral,musky,powdery,lactonic
luxurious-peony,pokrovka-trading-house,"peony, lemon, litchi","rose, pink pepper, freesia","ambrette (musk mallow), vetiver, patchouli",floral,rose,fresh,citrus,musky
inspire,ellen-tracy,"honeysuckle, cyclamen, jasmine, gardenia, peony, carnation, violet","lily-of-the-valley, lemon, bergamot, melon","musk, sandalwood",white floral,floral,fresh,citrus,powdery
for-woman,bi-es,"pink pepper, apple blossom","freesia, jasmine, rose","musk, sandalwood, cedar",musky,woody,floral,powdery,soft spicy
vamp-black,pupa,"cinnamon, rose, black pepper","wild berries, jasmine, labdanum, sandalwood","patchouli, vanilla, musk, amber",woody,warm spicy,amber,musky,powdery
almost-a-virgin,antonio-maretti,"red berries, apple, pink pepper","rose, geranium","musk, patchouli, sandalwood",fruity,musky,fresh,rose,sweet
mi-scusi,antonio-maretti,"melon, peach, lemon","rose, orange blossom, raspberry","musk, praline, moss",fruity,sweet,ozonic,citrus,aquatic
cafe-pop,cafe-parfums,"pear, freesia, black currant","peony, jasmine, lily-of-the-valley","musk, sandalwood, amber",floral,fresh,white floral,fruity,rose
princesse-de-coeur,laurent-mazzone-parfums,"aldehydes, carrot, bergamot","rose, iris, amberwood","musk, moss, vetiver",powdery,rose,woody,earthy,musky
cafe-vert,il-profvmo,"grapefruit, mandarin orange","cyclamen, geranium, jasmine",coffee,citrus,fresh spicy,coffee,floral,aromatic
sheer-delight,betty-barclay,"italian lemon, mandarin orange, pear","peony, orange blossom, lily-of-the-valley","musk, resins, amber",citrus,fresh,white floral,floral,amber
instinct-forbidden,avon,lemon peel,"red berries, gardenia, violet",tahitian vanilla,fruity,citrus,white floral,fresh,sweet
today-tomorrow-always-diamond,avon,"hyacinth, african orange flower, stephanotis","narcissus, orchid, arum lily","musk, vetyver, palisander rosewood",green,floral,white floral,yellow floral,fresh spicy
quixotic,amway,"grapefruit, aldehydes, green notes, geranium, pepper","lemon, jasmine, lily-of-the-valley, apricot, freesia, birch leaf, cardamom, rose","mate, vetyver, sandalwood",citrus,aromatic,fresh spicy,aldehydic,fresh
jacqueline,gritti,"green almond, mate, green notes","lavender, violet leaves, freesia","musk, vanilla, tonka bean",lavender,aromatic,vanilla,musky,almond
in-red-blooming-passion,armand-basi,"red apple, red fruits, rhubarb, mango","jasmine, violet, lily-of-the-valley","white chocolate, white musk, sandalwood, tonka bean",fruity,sweet,fresh,powdery,unknown
te-verde,adolfo-dominguez,"tea, bamboo, yuzu, mint","african orange flower, cardamom, holly, coriander, freesia","oak moss, guaiac wood, amber",green,woody,aromatic,citrus,fresh spicy
paradise-flowers,bi-es,"black currant, bergamot",jasmine,musk,fruity,white floral,citrus,floral,fresh spicy
charmante,faberlic,"black currant, mandarin leaf, orange, pitahaya, pear","rose, jasmine, raspberry","cedar, musk, amber",fruity,rose,citrus,woody,floral
fortunata,faberlic,"red apple, calabrian mandarin","cherry, orris root, orchid, gardenia, rose","almond, vanilla, tonka bean, patchouli, white musk",sweet,almond,cherry,fruity,vanilla
kaori,faberlic,"sea water, black currant leaf, bamboo, bergamot, grapefruit","water lily, cherry blossom, magnolia, tea rose","raspberry, musk, iris, vetiver, amber",floral,aromatic,marine,aquatic,fruity
amazing,bill-blass,"peach, mandarin orange","water lily, lily-of-the-valley, tuberose, rose","mimosa, musk, sandalwood",powdery,floral,white floral,yellow floral,musky
black-lace,dana,"tea, bergamot, red berries","rose, violet, water lily, cyclamen, african orange flower","ebony wood, woodsy notes, sandalwood, lilac",woody,floral,fresh,rose,powdery
dilis-classic-collection-no-1,dilis-parfum,"violet, jasmine, narcissus, lily-of-the-valley, rose, bergamot, peach","aldehydes, rosemary, tuberose","musk, vetiver, civetta, bamboo, tonka bean, amber, sandalwood",aldehydic,fresh,white floral,powdery,violet
secret-fantasy-kiss,avon,"blackberry, mango, green apple","magnolia, rose petals, violet","amber, sandalwood, moss",fruity,sweet,tropical,floral,rose
vanille-malika,chopard,"incense, pink pepper, litchi","bourbon vanilla, madagascar vanilla","opoponax, sandalwood, cashmeran",amber,woody,balsamic,powdery,vanilla
casual-2-oksana-robski,brocard,"green notes, citruses, orange","ylang-ylang, jasmine, rose","palisander rosewood, heliotrope, musk, amber",citrus,green,woody,powdery,sweet
tantra-tantra,brocard,"orange, bergamot","jasmine, rose","vanilla, musk, vetiver",citrus,vanilla,powdery,white floral,musky
jardin-de-bali,id-parfums,"cloves, bergamot","tuberose, ylang-ylang","licorice, vanilla, benzoin",warm spicy,tuberose,yellow floral,white floral,sweet
ungaro-for-her,emanuel-ungaro,"grapefruit, mandarin orange, pink pepper","rose, jasmine, hibiscus","vanilla, heliotrope, cedar",vanilla,citrus,rose,powdery,floral
clean-fragrance,clean,"lime, pink grapefruit, orange, bergamot, orange blossom, wild berries","lavender, lily, violet, jasmine, passion flower, damask rose","white musk, geranium, heliotrope",citrus,fresh spicy,aromatic,white floral,powdery
kenzo-world,kenzo,red fruits,"peony, floral notes, egyptian jasmine",ambroxan,floral,fruity,fresh,amber,musky
all-or-nothing-unique-accord-1,oriflame,"freesia, jasmine, peony","musk, floral notes, whipped cream","heliotrope, white woods, sandalwood",floral,musky,powdery,white floral,fresh
lovely-me,liu-jo,"apple, raspberry, bergamot","jasmine, tuberose, orange blossom","popcorn, cedar, ambroxan",white floral,fruity,woody,fresh,tuberose
the-queen-of-spades-classic,brocard,"melon, magnolia, citruses","lily-of-the-valley, jasmine, violet","woody notes, musk, orchid",floral,white floral,fresh,powdery,citrus
un-jardin-mystique,brocard,"citron, mint, bergamot, marigold, mandarin orange","lily-of-the-valley, magnolia, rose","woody notes, musk, vetiver, sandalwood",citrus,green,aromatic,white floral,fresh spicy
berriessence,brocard,"forest fruits, blackberry, litchi","sorbet, raspberry, violet, rose petals","vanilla sugar, musk, woody notes",fruity,sweet,woody,unknown,unknown
passiflora,nest,green notes,passion flower,"hyacinth, lily-of-the-valley",green,floral,fruity,white floral,fresh spicy
donna-blooming-flowers,sergio-tacchini,"peony, lily-of-the-valley","iris, jasmine","lilac, gardenia",floral,fresh,white floral,iris,green
sol-la,reminiscence,"italian lemon, pine tree, rosemary, eucalyptus, orange, lavender, sicilian bergamot, neroli essence","petitgrain, pink pepper, ylang-ylang","pear, patchouli, vanilla",aromatic,citrus,woody,fresh spicy,green
morning-star,cosmogony,"plum, blackberry, mandarin orange","osmanthus, creamy flowers, rose, jasmine, tuberose","musk, patchouli, sandalwood, ambergris",fruity,floral,musky,woody,powdery
gelsomino-notturno,bottega-verde,"raspberry, pear, strawberry, bergamot","night blooming jasmine, peony","patchouli, amber, musk",fruity,sweet,white floral,unknown,unknown
powerful-flowers-lila,avon,green notes,lily,musk,green,white floral,musky,powdery,soft spicy
red-door,elizabeth-arden,"rose, orange blossom, plum, violet, peach, anise","honey, carnation, rose, tuberose, ylang-ylang, jasmine, lily, lily-of-the-valley, freesia, orchid","sandalwood, amber, benzoin, musk, heliotrope, vetiver, cedar",floral,white floral,sweet,powdery,woody
bois-fuchsia,les-parfums-de-rosine,"cassis, iris","raspberry, litchi, rose","patchouli, sandalwood, musk",fruity,woody,patchouli,earthy,aromatic
signorina-unica,salvatore-ferragamo,"mandarin orange, sea notes, sugar cane, bergamot","violet, cashmere wood, black currant, azalea","vanilla, tiramisu, ambroxan, tonka bean, patchouli",sweet,citrus,vanilla,amber,marine
chiffon,oriflame,"white flowers, geranium, ylang-ylang, plum","tuberose, cedar, patchouli","sandalwood, musk, orange blossom",white floral,woody,tuberose,powdery,musky
ice,oriflame,"water notes, grapefruit, mandarin orange","melon, freesia, rose","musk, cyclamen",aquatic,fresh,citrus,floral,musky
miss-charming,oriflame,mandarin orange,gardenia,vanilla,white floral,citrus,lactonic,vanilla,animalic
united-colors-of-benetton-woman,benetton,"mandarin orange, neroli, hawthorn","heliotrope, cotton flower, iris","cacao, musk, cashmere wood",powdery,floral,citrus,musky,cacao
xx-very-nice,mexx,"black currant, bergamot, melon","pear, peony, lily-of-the-valley, apricot, cinnamon","virginia cedar, musk, sandalwood",fruity,fresh,woody,floral,powdery
